sex,length,diameter,height,whole,whucked,viscera,shell,rings
M,0.44,0.365,0.125,0.487,0.2155,0.114,0.155,10
I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
M,0.44,0.365,0.125,0.487,0.2155,0.114,0.155,10
I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
