Thu Feb  4 05:19:43 2021
rule_repository_top_k.size(): 30
(whole,whucked,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whole,viscera,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 9
(whucked,viscera,)=>sex | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 9
(whole,whucked,)=>diameter | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whucked,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 58 | whole_conf: 0.993057 | Asupp: 10
(whole,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 13
(whole,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 11
(whole,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 9
(whole,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 11
(whole,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 11
(whole,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(height,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(height,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 11
(whole,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whucked,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 9
(whole,viscera,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 2
(whole,whucked,rings,)=>height | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(whole,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 3
(whole,whucked,sex=F,)=>height | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 3
(height,whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 13
(whucked,viscera,rings,)=>whole | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(whucked,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 9
(whole,whucked,rings,)=>shell | whole_supp: 8354 | whole_vio: 10 | whole_conf: 0.998803 | Asupp: 10
(sex,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(whucked,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(height,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10

rule_repository.size(): 199
(height,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
