Thu Feb  4 04:28:35 2021
rule_repository_top_k.size(): 30
(viscera,)=>rings | whole_supp: 4293 | whole_vio: 2448 | whole_conf: 0.429769 | Asupp: 10
(shell,)=>rings | whole_supp: 4293 | whole_vio: 2437 | whole_conf: 0.432332 | Asupp: 10
(viscera,)=>whole | whole_supp: 4293 | whole_vio: 3288 | whole_conf: 0.234102 | Asupp: 10
(shell,)=>whole | whole_supp: 4293 | whole_vio: 3241 | whole_conf: 0.245050 | Asupp: 10
(shell,)=>length | whole_supp: 4293 | whole_vio: 2917 | whole_conf: 0.320522 | Asupp: 10
(whucked,)=>viscera | whole_supp: 4293 | whole_vio: 2641 | whole_conf: 0.384812 | Asupp: 10
(whucked,)=>shell | whole_supp: 4293 | whole_vio: 2583 | whole_conf: 0.398323 | Asupp: 10
(whucked,)=>height | whole_supp: 4293 | whole_vio: 2313 | whole_conf: 0.461216 | Asupp: 10
(whucked,)=>rings | whole_supp: 4293 | whole_vio: 2076 | whole_conf: 0.516422 | Asupp: 10
(shell,)=>sex | whole_supp: 4293 | whole_vio: 1526 | whole_conf: 0.644538 | Asupp: 10
(whole,)=>rings | whole_supp: 4293 | whole_vio: 1432 | whole_conf: 0.666434 | Asupp: 10
(rings=10,)=>sex=M | whole_supp: 671 | whole_vio: 357 | whole_conf: 0.467958 | Asupp: 6
(height,rings,)=>viscera | whole_supp: 4293 | whole_vio: 3658 | whole_conf: 0.147915 | Asupp: 10
(height,rings,)=>shell | whole_supp: 4293 | whole_vio: 3554 | whole_conf: 0.172141 | Asupp: 10
(height,shell,)=>viscera | whole_supp: 4293 | whole_vio: 1617 | whole_conf: 0.623340 | Asupp: 10
(height,shell,)=>rings | whole_supp: 4293 | whole_vio: 1270 | whole_conf: 0.704170 | Asupp: 10
(height,viscera,)=>shell | whole_supp: 4293 | whole_vio: 938 | whole_conf: 0.781505 | Asupp: 10
(height,viscera,)=>rings | whole_supp: 4293 | whole_vio: 792 | whole_conf: 0.815514 | Asupp: 10
(viscera,shell,)=>height | whole_supp: 4293 | whole_vio: 216 | whole_conf: 0.949686 | Asupp: 10
(viscera,shell,)=>rings | whole_supp: 4293 | whole_vio: 177 | whole_conf: 0.958770 | Asupp: 10
(height,rings=9,)=>shell | whole_supp: 730 | whole_vio: 640 | whole_conf: 0.123288 | Asupp: 3
(shell,rings=9,)=>viscera | whole_supp: 730 | whole_vio: 365 | whole_conf: 0.500000 | Asupp: 3
(shell,rings=9,)=>height | whole_supp: 730 | whole_vio: 331 | whole_conf: 0.546575 | Asupp: 3
(viscera,rings=9,)=>shell | whole_supp: 730 | whole_vio: 291 | whole_conf: 0.601370 | Asupp: 3
(height,rings=10,)=>viscera | whole_supp: 671 | whole_vio: 598 | whole_conf: 0.108793 | Asupp: 2
(height,rings=10,)=>shell | whole_supp: 671 | whole_vio: 584 | whole_conf: 0.129657 | Asupp: 2
(shell,rings=10,)=>viscera | whole_supp: 671 | whole_vio: 307 | whole_conf: 0.542474 | Asupp: 2
