Thu Feb  4 04:29:07 2021
rule_repository_top_k.size(): 30
(whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 10
(whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 58 | whole_conf: 0.993057 | Asupp: 10
(whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(whucked,viscera,)=>sex | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 10
(whucked,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 58 | whole_conf: 0.993057 | Asupp: 10
(whucked,viscera,)=>length | whole_supp: 8354 | whole_vio: 60 | whole_conf: 0.992818 | Asupp: 10
(whole,shell,)=>sex | whole_supp: 8354 | whole_vio: 88 | whole_conf: 0.989466 | Asupp: 10
(whucked,shell,)=>sex | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 10
(whole,shell,)=>length | whole_supp: 8354 | whole_vio: 132 | whole_conf: 0.984199 | Asupp: 10
(whole,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whucked,viscera,rings=9,)=>height | whole_supp: 1378 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 3
(whucked,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(height,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(height,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(length,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10
(length,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(height,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(whole,shell,rings=9,)=>height | whole_supp: 1378 | whole_vio: 4 | whole_conf: 0.997097 | Asupp: 3
