Thu Feb  4 04:31:36 2021
rule_repository_top_k.size(): 30
(whucked,)=>height | whole_supp: 4388 | whole_vio: 2366 | whole_conf: 0.460802 | Asupp: 10
(height,)=>sex | whole_supp: 4388 | whole_vio: 2009 | whole_conf: 0.542160 | Asupp: 10
(whole,)=>rings | whole_supp: 4388 | whole_vio: 1460 | whole_conf: 0.667274 | Asupp: 10
(sex=F,)=>rings=10 | whole_supp: 1372 | whole_vio: 1086 | whole_conf: 0.208455 | Asupp: 6
(rings=10,)=>sex=F | whole_supp: 707 | whole_vio: 421 | whole_conf: 0.404526 | Asupp: 6
(viscera,)=>length | whole_supp: 4388 | whole_vio: 2997 | whole_conf: 0.317001 | Asupp: 10
(whucked,)=>shell | whole_supp: 4388 | whole_vio: 2604 | whole_conf: 0.406563 | Asupp: 10
(whucked,)=>diameter | whole_supp: 4388 | whole_vio: 2364 | whole_conf: 0.461258 | Asupp: 10
(whole,)=>length | whole_supp: 4388 | whole_vio: 1596 | whole_conf: 0.636281 | Asupp: 10
(whucked,)=>sex | whole_supp: 4388 | whole_vio: 1293 | whole_conf: 0.705333 | Asupp: 10
(height,rings,)=>diameter | whole_supp: 4388 | whole_vio: 3400 | whole_conf: 0.225160 | Asupp: 10
(height,rings,)=>sex | whole_supp: 4388 | whole_vio: 1701 | whole_conf: 0.612352 | Asupp: 10
(viscera,rings,)=>height | whole_supp: 4388 | whole_vio: 1232 | whole_conf: 0.719234 | Asupp: 10
(height,viscera,)=>rings | whole_supp: 4388 | whole_vio: 819 | whole_conf: 0.813355 | Asupp: 10
(whucked,rings,)=>height | whole_supp: 4388 | whole_vio: 752 | whole_conf: 0.828624 | Asupp: 10
(height,whole,)=>rings | whole_supp: 4388 | whole_vio: 289 | whole_conf: 0.934139 | Asupp: 10
(height,rings,)=>sex=I | whole_supp: 4388 | whole_vio: 2968 | whole_conf: 0.323610 | Asupp: 6
(rings,sex=M,)=>height | whole_supp: 1596 | whole_vio: 1406 | whole_conf: 0.119048 | Asupp: 2
(height,sex=F,)=>rings | whole_supp: 1372 | whole_vio: 989 | whole_conf: 0.279155 | Asupp: 2
(height,rings=10,)=>whole | whole_supp: 707 | whole_vio: 617 | whole_conf: 0.127298 | Asupp: 2
(height,rings=10,)=>whucked | whole_supp: 707 | whole_vio: 615 | whole_conf: 0.130127 | Asupp: 2
(height,rings=10,)=>viscera | whole_supp: 707 | whole_vio: 614 | whole_conf: 0.131542 | Asupp: 2
(height,rings=10,)=>shell | whole_supp: 707 | whole_vio: 600 | whole_conf: 0.151344 | Asupp: 2
(height,rings=10,)=>length | whole_supp: 707 | whole_vio: 565 | whole_conf: 0.200849 | Asupp: 2
(height,rings=10,)=>diameter | whole_supp: 707 | whole_vio: 558 | whole_conf: 0.210750 | Asupp: 2
(diameter,rings=10,)=>height | whole_supp: 707 | whole_vio: 522 | whole_conf: 0.261669 | Asupp: 2
(height,rings=10,)=>sex | whole_supp: 707 | whole_vio: 324 | whole_conf: 0.541726 | Asupp: 2
