Thu Feb  4 04:32:07 2021
rule_repository_top_k.size(): 30
(whole,viscera,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 12
(whole,viscera,)=>length | whole_supp: 8354 | whole_vio: 50 | whole_conf: 0.994015 | Asupp: 10
(whole,shell,)=>diameter | whole_supp: 8354 | whole_vio: 136 | whole_conf: 0.983720 | Asupp: 13
(whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(whole,shell,)=>sex | whole_supp: 8354 | whole_vio: 88 | whole_conf: 0.989466 | Asupp: 13
(whole,shell,)=>length | whole_supp: 8354 | whole_vio: 132 | whole_conf: 0.984199 | Asupp: 10
(whucked,shell,)=>sex | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 10
(whole,viscera,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(height,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(diameter,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(diameter,whole,rings,)=>viscera | whole_supp: 8354 | whole_vio: 90 | whole_conf: 0.989227 | Asupp: 10
(height,whole,rings,)=>diameter | whole_supp: 8354 | whole_vio: 92 | whole_conf: 0.988987 | Asupp: 10
(whole,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(diameter,whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,whucked,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 3
(whucked,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(diameter,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 13
(diameter,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,viscera,rings,)=>whucked | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(diameter,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(length,whole,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(diameter,whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(whole,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 2
(length,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10

rule_repository.size(): 330
(whole,whucked,rings,)=>diameter | whole_supp: 8354 | whole_vio: 10 | whole_conf: 0.998803 | Asupp: 10
(height,whucked,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(viscera,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 2 | whole_conf: 0.998423 | Asupp: 2
(height,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(height,whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(height,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(whole,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 2
(diameter,whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 12
(height,whole,shell,)=>viscera | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(diameter,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 34 | whole_conf: 0.995930 | Asupp: 10
(whole,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(whole,shell,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 6 | whole_conf: 0.995268 | Asupp: 2
(diameter,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 10
(length,whole,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 3
(length,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(whole,viscera,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 18 | whole_conf: 0.993294 | Asupp: 7
(height,whole,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 3
(diameter,whole,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(diameter,whole,rings=10,)=>length | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(whole,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 24 | whole_conf: 0.991058 | Asupp: 6
(diameter,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 86 | whole_conf: 0.989706 | Asupp: 10
