M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,ERR2020
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,ERR2020
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
F,0.72,0.55,ERR2020,1.52,0.637,0.325,0.435,10
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
F,0.72,0.575,ERR2020,2.1505,1.0745,0.382,0.585,10
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,ERR2020
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,ERR2020
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,ERR2020
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,ERR2020
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,ERR2020
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,ERR2020
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
I,0.315,ERR2020,0.08,0.18,0.08,0.045,0.047,5
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
I,0.415,0.325,0.115,ERR2020,0.1405,0.051,0.106,12
F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
F,0.435,0.32,0.12,ERR2020,0.152,0.0915,0.125,11
I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,6
I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,ERR2020
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5
I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,ERR2020
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
F,0.605,0.49,0.15,1.1345,0.4305,ERR2020,0.35,10
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
F,0.63,0.495,0.19,ERR2020,0.536,0.2115,0.1625,10
F,0.615,0.475,0.155,ERR2020,0.484,0.2115,0.355,10
M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
F,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
