Thu Feb  4 04:33:29 2021
rule_repository_top_k.size(): 30
(height,)=>length | whole_supp: 4785 | whole_vio: 4212 | whole_conf: 0.119749 | Asupp: 10
(viscera,)=>height | whole_supp: 4785 | whole_vio: 3141 | whole_conf: 0.343574 | Asupp: 10
(shell,)=>height | whole_supp: 4785 | whole_vio: 3065 | whole_conf: 0.359457 | Asupp: 10
(shell,)=>rings | whole_supp: 4785 | whole_vio: 2719 | whole_conf: 0.431766 | Asupp: 10
(viscera,)=>rings | whole_supp: 4785 | whole_vio: 2705 | whole_conf: 0.434692 | Asupp: 10
(whucked,)=>height | whole_supp: 4785 | whole_vio: 2649 | whole_conf: 0.446395 | Asupp: 10
(whucked,)=>rings | whole_supp: 4785 | whole_vio: 2304 | whole_conf: 0.518495 | Asupp: 10
(whole,)=>height | whole_supp: 4785 | whole_vio: 1909 | whole_conf: 0.601045 | Asupp: 10
(whole,)=>rings | whole_supp: 4785 | whole_vio: 1611 | whole_conf: 0.663323 | Asupp: 10
(rings=9,)=>sex=M | whole_supp: 894 | whole_vio: 534 | whole_conf: 0.402685 | Asupp: 2
(sex,rings,)=>height | whole_supp: 4785 | whole_vio: 4127 | whole_conf: 0.137513 | Asupp: 10
(height,rings,)=>whole | whole_supp: 4785 | whole_vio: 3928 | whole_conf: 0.179101 | Asupp: 10
(height,rings,)=>whucked | whole_supp: 4785 | whole_vio: 3890 | whole_conf: 0.187043 | Asupp: 10
(height,rings,)=>viscera | whole_supp: 4785 | whole_vio: 3858 | whole_conf: 0.193730 | Asupp: 10
(height,rings,)=>shell | whole_supp: 4785 | whole_vio: 3745 | whole_conf: 0.217346 | Asupp: 10
(height,rings,)=>length | whole_supp: 4785 | whole_vio: 3588 | whole_conf: 0.250157 | Asupp: 10
(height,rings,)=>diameter | whole_supp: 4785 | whole_vio: 3533 | whole_conf: 0.261651 | Asupp: 10
(length,rings,)=>height | whole_supp: 4785 | whole_vio: 2983 | whole_conf: 0.376594 | Asupp: 10
(shell,rings,)=>height | whole_supp: 4785 | whole_vio: 1917 | whole_conf: 0.599373 | Asupp: 10
(height,rings,)=>sex | whole_supp: 4785 | whole_vio: 1753 | whole_conf: 0.633647 | Asupp: 10
(viscera,rings,)=>height | whole_supp: 4785 | whole_vio: 1486 | whole_conf: 0.689446 | Asupp: 10
(height,shell,)=>rings | whole_supp: 4785 | whole_vio: 1424 | whole_conf: 0.702403 | Asupp: 10
(whucked,rings,)=>height | whole_supp: 4785 | whole_vio: 1001 | whole_conf: 0.790805 | Asupp: 10
(height,viscera,)=>rings | whole_supp: 4785 | whole_vio: 942 | whole_conf: 0.803135 | Asupp: 10
(whole,rings,)=>height | whole_supp: 4785 | whole_vio: 722 | whole_conf: 0.849112 | Asupp: 10
(height,whucked,)=>rings | whole_supp: 4785 | whole_vio: 596 | whole_conf: 0.875444 | Asupp: 10
(height,whole,)=>rings | whole_supp: 4785 | whole_vio: 421 | whole_conf: 0.912017 | Asupp: 10
(height,rings,)=>sex=I | whole_supp: 4785 | whole_vio: 3226 | whole_conf: 0.325810 | Asupp: 4
(height,rings,)=>sex=M | whole_supp: 4785 | whole_vio: 3042 | whole_conf: 0.364263 | Asupp: 4
(rings,sex=M,)=>height | whole_supp: 1743 | whole_vio: 1531 | whole_conf: 0.121629 | Asupp: 4

rule_repository.size(): 118
(rings,sex=I,)=>height | whole_supp: 1559 | whole_vio: 1289 | whole_conf: 0.173188 | Asupp: 4
(height,sex=M,)=>rings | whole_supp: 1743 | whole_vio: 1201 | whole_conf: 0.310958 | Asupp: 4
(height,rings,)=>sex=F | whole_supp: 4785 | whole_vio: 3302 | whole_conf: 0.309927 | Asupp: 2
(rings,sex=F,)=>height | whole_supp: 1483 | whole_vio: 1307 | whole_conf: 0.118678 | Asupp: 2
(height,sex=F,)=>rings | whole_supp: 1483 | whole_vio: 1028 | whole_conf: 0.306810 | Asupp: 2
(sex,rings=10,)=>height | whole_supp: 834 | whole_vio: 762 | whole_conf: 0.086331 | Asupp: 2
(height,rings=10,)=>whole | whole_supp: 834 | whole_vio: 673 | whole_conf: 0.193046 | Asupp: 2
(height,rings=10,)=>viscera | whole_supp: 834 | whole_vio: 670 | whole_conf: 0.196643 | Asupp: 2
(height,rings=10,)=>whucked | whole_supp: 834 | whole_vio: 670 | whole_conf: 0.196643 | Asupp: 2
(height,rings=10,)=>shell | whole_supp: 834 | whole_vio: 652 | whole_conf: 0.218225 | Asupp: 2
(diameter,rings=10,)=>height | whole_supp: 834 | whole_vio: 646 | whole_conf: 0.225420 | Asupp: 2
(length,rings=10,)=>height | whole_supp: 834 | whole_vio: 633 | whole_conf: 0.241007 | Asupp: 2
(height,rings=10,)=>length | whole_supp: 834 | whole_vio: 621 | whole_conf: 0.255396 | Asupp: 2
(height,rings=10,)=>diameter | whole_supp: 834 | whole_vio: 613 | whole_conf: 0.264988 | Asupp: 2
(height,rings=10,)=>sex | whole_supp: 834 | whole_vio: 346 | whole_conf: 0.585132 | Asupp: 2
(sex,rings,)=>whole | whole_supp: 4785 | whole_vio: 4598 | whole_conf: 0.039080 | Asupp: 10
(sex,rings,)=>whucked | whole_supp: 4785 | whole_vio: 4578 | whole_conf: 0.043260 | Asupp: 10
(sex,rings,)=>viscera | whole_supp: 4785 | whole_vio: 4564 | whole_conf: 0.046186 | Asupp: 10
(sex,rings,)=>shell | whole_supp: 4785 | whole_vio: 4487 | whole_conf: 0.062278 | Asupp: 10
(sex,rings,)=>length | whole_supp: 4785 | whole_vio: 4391 | whole_conf: 0.082341 | Asupp: 10
(sex,rings,)=>diameter | whole_supp: 4785 | whole_vio: 4334 | whole_conf: 0.094253 | Asupp: 10
(sex,height,)=>length | whole_supp: 4785 | whole_vio: 4048 | whole_conf: 0.154023 | Asupp: 10
(length,rings,)=>whole | whole_supp: 4785 | whole_vio: 3519 | whole_conf: 0.264577 | Asupp: 10
(length,rings,)=>whucked | whole_supp: 4785 | whole_vio: 3509 | whole_conf: 0.266667 | Asupp: 10
(length,rings,)=>viscera | whole_supp: 4785 | whole_vio: 3473 | whole_conf: 0.274190 | Asupp: 10
(length,rings,)=>shell | whole_supp: 4785 | whole_vio: 3319 | whole_conf: 0.306374 | Asupp: 10
(length,rings,)=>diameter | whole_supp: 4785 | whole_vio: 2849 | whole_conf: 0.404598 | Asupp: 10
(diameter,height,)=>length | whole_supp: 4103 | whole_vio: 2705 | whole_conf: 0.340726 | Asupp: 10
(shell,rings,)=>whole | whole_supp: 4785 | whole_vio: 2017 | whole_conf: 0.578474 | Asupp: 10
(shell,rings,)=>whucked | whole_supp: 4785 | whole_vio: 2011 | whole_conf: 0.579728 | Asupp: 10
(shell,rings,)=>viscera | whole_supp: 4785 | whole_vio: 1995 | whole_conf: 0.583072 | Asupp: 10
(shell,rings,)=>length | whole_supp: 4785 | whole_vio: 1776 | whole_conf: 0.628840 | Asupp: 10
(shell,rings,)=>diameter | whole_supp: 4785 | whole_vio: 1739 | whole_conf: 0.636573 | Asupp: 10
(height,shell,)=>whole | whole_supp: 4785 | whole_vio: 1708 | whole_conf: 0.643051 | Asupp: 10
(height,shell,)=>viscera | whole_supp: 4785 | whole_vio: 1684 | whole_conf: 0.648067 | Asupp: 10
(height,shell,)=>whucked | whole_supp: 4785 | whole_vio: 1683 | whole_conf: 0.648276 | Asupp: 10
(length,rings,)=>sex | whole_supp: 4785 | whole_vio: 1576 | whole_conf: 0.670637 | Asupp: 10
(height,shell,)=>length | whole_supp: 4785 | whole_vio: 1535 | whole_conf: 0.679206 | Asupp: 10
(height,shell,)=>diameter | whole_supp: 4785 | whole_vio: 1476 | whole_conf: 0.691536 | Asupp: 10
(viscera,rings,)=>whucked | whole_supp: 4785 | whole_vio: 1403 | whole_conf: 0.706792 | Asupp: 10
(viscera,rings,)=>whole | whole_supp: 4785 | whole_vio: 1390 | whole_conf: 0.709509 | Asupp: 10
(viscera,rings,)=>shell | whole_supp: 4785 | whole_vio: 1354 | whole_conf: 0.717032 | Asupp: 10
(viscera,rings,)=>length | whole_supp: 4785 | whole_vio: 1302 | whole_conf: 0.727900 | Asupp: 10
(viscera,rings,)=>diameter | whole_supp: 4785 | whole_vio: 1277 | whole_conf: 0.733124 | Asupp: 10
(height,viscera,)=>whole | whole_supp: 4785 | whole_vio: 1029 | whole_conf: 0.784953 | Asupp: 10
(height,viscera,)=>whucked | whole_supp: 4785 | whole_vio: 999 | whole_conf: 0.791223 | Asupp: 10
(height,viscera,)=>shell | whole_supp: 4785 | whole_vio: 974 | whole_conf: 0.796447 | Asupp: 10
(height,viscera,)=>length | whole_supp: 4785 | whole_vio: 941 | whole_conf: 0.803344 | Asupp: 10
(shell,rings,)=>sex | whole_supp: 4785 | whole_vio: 925 | whole_conf: 0.806688 | Asupp: 10
(height,viscera,)=>diameter | whole_supp: 4785 | whole_vio: 907 | whole_conf: 0.810449 | Asupp: 10
(whucked,rings,)=>whole | whole_supp: 4785 | whole_vio: 814 | whole_conf: 0.829885 | Asupp: 10
(height,shell,)=>sex | whole_supp: 4785 | whole_vio: 802 | whole_conf: 0.832393 | Asupp: 10
(whucked,rings,)=>viscera | whole_supp: 4785 | whole_vio: 794 | whole_conf: 0.834065 | Asupp: 10
(whucked,rings,)=>shell | whole_supp: 4785 | whole_vio: 753 | whole_conf: 0.842633 | Asupp: 10
(whucked,rings,)=>length | whole_supp: 4785 | whole_vio: 730 | whole_conf: 0.847440 | Asupp: 10
(whucked,rings,)=>diameter | whole_supp: 4785 | whole_vio: 714 | whole_conf: 0.850784 | Asupp: 10
(viscera,rings,)=>sex | whole_supp: 4785 | whole_vio: 658 | whole_conf: 0.862487 | Asupp: 10
(height,whucked,)=>viscera | whole_supp: 4785 | whole_vio: 549 | whole_conf: 0.885266 | Asupp: 10
(height,whucked,)=>whole | whole_supp: 4785 | whole_vio: 535 | whole_conf: 0.888192 | Asupp: 10
