Thu Feb  4 04:33:58 2021
rule_repository_top_k.size(): 30
(whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 12
(whole,whucked,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 14
(whole,viscera,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 12
(whole,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 52 | whole_conf: 0.993775 | Asupp: 12
(whucked,shell,)=>viscera | whole_supp: 8354 | whole_vio: 188 | whole_conf: 0.977496 | Asupp: 12
(height,whole,)=>sex | whole_supp: 8354 | whole_vio: 280 | whole_conf: 0.966483 | Asupp: 10
(length,whole,)=>viscera | whole_supp: 8354 | whole_vio: 356 | whole_conf: 0.957386 | Asupp: 13
(whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 358 | whole_conf: 0.957146 | Asupp: 10
(whucked,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 11
(whole,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,viscera,rings,)=>whucked | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whole,whucked,rings,)=>height | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 11
(height,whole,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 8 | whole_conf: 0.991786 | Asupp: 2
(height,whole,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(height,whucked,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 16 | whole_conf: 0.983573 | Asupp: 2
(height,whucked,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(height,whole,rings=8,)=>viscera | whole_supp: 1136 | whole_vio: 22 | whole_conf: 0.980634 | Asupp: 2
(height,viscera,rings=11,)=>whole | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(height,viscera,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(height,viscera,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,whucked,rings=8,)=>viscera | whole_supp: 1136 | whole_vio: 54 | whole_conf: 0.952465 | Asupp: 2
(height,whucked,rings=8,)=>whole | whole_supp: 1136 | whole_vio: 54 | whole_conf: 0.952465 | Asupp: 2
(whole,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,viscera,rings=10,)=>length | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 6
(whole,whucked,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 5
(whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 4

rule_repository.size(): 248
(whole,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(diameter,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whucked,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whole,viscera,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 4
(whole,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 4
(length,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
