Thu Feb  4 04:41:51 2021
rule_repository_top_k.size(): 30
(height,)=>shell | whole_supp: 4516 | whole_vio: 4159 | whole_conf: 0.079052 | Asupp: 10
(height,)=>rings | whole_supp: 4516 | whole_vio: 3207 | whole_conf: 0.289858 | Asupp: 10
(shell,)=>rings | whole_supp: 4516 | whole_vio: 2532 | whole_conf: 0.439327 | Asupp: 10
(height,)=>whole | whole_supp: 4516 | whole_vio: 4286 | whole_conf: 0.050930 | Asupp: 10
(height,)=>whucked | whole_supp: 4516 | whole_vio: 4279 | whole_conf: 0.052480 | Asupp: 10
(height,)=>viscera | whole_supp: 4516 | whole_vio: 4247 | whole_conf: 0.059566 | Asupp: 10
(height,)=>length | whole_supp: 4516 | whole_vio: 4032 | whole_conf: 0.107175 | Asupp: 10
(height,)=>diameter | whole_supp: 4516 | whole_vio: 3959 | whole_conf: 0.123339 | Asupp: 10
(shell,)=>whole | whole_supp: 4516 | whole_vio: 3335 | whole_conf: 0.261515 | Asupp: 10
(viscera,)=>shell | whole_supp: 4516 | whole_vio: 3302 | whole_conf: 0.268822 | Asupp: 10
(diameter,)=>rings | whole_supp: 4516 | whole_vio: 3180 | whole_conf: 0.295837 | Asupp: 10
(shell,)=>length | whole_supp: 4516 | whole_vio: 3017 | whole_conf: 0.331931 | Asupp: 10
(viscera,)=>height | whole_supp: 4516 | whole_vio: 2906 | whole_conf: 0.356510 | Asupp: 10
(whucked,)=>shell | whole_supp: 4516 | whole_vio: 2679 | whole_conf: 0.406776 | Asupp: 10
(viscera,)=>rings | whole_supp: 4516 | whole_vio: 2547 | whole_conf: 0.436005 | Asupp: 10
(whucked,)=>height | whole_supp: 4516 | whole_vio: 2438 | whole_conf: 0.460142 | Asupp: 10
(rings,)=>sex | whole_supp: 4516 | whole_vio: 2178 | whole_conf: 0.517715 | Asupp: 10
(whucked,)=>rings | whole_supp: 4516 | whole_vio: 2159 | whole_conf: 0.521922 | Asupp: 10
(height,)=>sex | whole_supp: 4516 | whole_vio: 2024 | whole_conf: 0.551816 | Asupp: 10
(whole,)=>shell | whole_supp: 4516 | whole_vio: 1760 | whole_conf: 0.610275 | Asupp: 10
(shell,)=>sex | whole_supp: 4516 | whole_vio: 1581 | whole_conf: 0.649911 | Asupp: 10
(whole,)=>rings | whole_supp: 4516 | whole_vio: 1483 | whole_conf: 0.671612 | Asupp: 10
(rings=10,)=>sex=F | whole_supp: 736 | whole_vio: 447 | whole_conf: 0.392663 | Asupp: 6
(sex=M,)=>rings=9 | whole_supp: 1649 | whole_vio: 1333 | whole_conf: 0.191631 | Asupp: 3
(rings=9,)=>sex=M | whole_supp: 790 | whole_vio: 474 | whole_conf: 0.400000 | Asupp: 3
