Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 13
(whucked,shell,)=>sex | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 10
(whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 114 | whole_conf: 0.986354 | Asupp: 10
(viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 172 | whole_conf: 0.979411 | Asupp: 10
(whole,shell,)=>length | whole_supp: 8354 | whole_vio: 132 | whole_conf: 0.984199 | Asupp: 10
(whucked,shell,)=>length | whole_supp: 8354 | whole_vio: 180 | whole_conf: 0.978453 | Asupp: 10
(whole,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 12
(whole,viscera,shell,)=>whucked | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(whole,whucked,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 4
(whucked,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 3
(whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,whucked,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whucked,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whucked,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 11
(height,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(height,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 11
(height,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whole,whucked,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 3
(whole,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 3
(whole,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 2
(whole,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 2
(whole,whucked,sex=F,)=>height | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 4
(whole,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 3
(whole,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 3
(whole,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 3

rule_repository.size(): 203
(height,whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(whole,whucked,rings,)=>shell | whole_supp: 8354 | whole_vio: 10 | whole_conf: 0.998803 | Asupp: 10
(whucked,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 4 | whole_conf: 0.998691 | Asupp: 2
(whucked,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 4 | whole_conf: 0.998691 | Asupp: 2
(whole,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(whucked,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(whole,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 2 | whole_conf: 0.998423 | Asupp: 2
(viscera,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 2 | whole_conf: 0.998423 | Asupp: 2
(height,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 11
(height,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 11
(height,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(whole,shell,rings,)=>sex | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 12
(whole,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 8 | whole_conf: 0.997019 | Asupp: 6
(sex,whole,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 26 | whole_conf: 0.996888 | Asupp: 11
(whole,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 2
(whucked,shell,sex=M,)=>whole | whole_supp: 3056 | whole_vio: 10 | whole_conf: 0.996728 | Asupp: 3
(height,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
