Thu Feb  4 05:42:25 2021
rule_repository_top_k.size(): 30
(c,)=>f | whole_supp: 124524 | whole_vio: 106308 | whole_conf: 0.146285 | Asupp: 10
(f,)=>c | whole_supp: 124524 | whole_vio: 106176 | whole_conf: 0.147345 | Asupp: 10
(f,)=>e | whole_supp: 124524 | whole_vio: 104776 | whole_conf: 0.158588 | Asupp: 10
(f,)=>d | whole_supp: 124524 | whole_vio: 104656 | whole_conf: 0.159552 | Asupp: 10
(c,)=>e | whole_supp: 124524 | whole_vio: 104547 | whole_conf: 0.160427 | Asupp: 10
(c,)=>d | whole_supp: 124524 | whole_vio: 104424 | whole_conf: 0.161415 | Asupp: 10
(c,)=>b | whole_supp: 124524 | whole_vio: 102065 | whole_conf: 0.180359 | Asupp: 10
(f,)=>b | whole_supp: 124524 | whole_vio: 102022 | whole_conf: 0.180704 | Asupp: 10
(e,)=>d | whole_supp: 124524 | whole_vio: 101868 | whole_conf: 0.181941 | Asupp: 10
(d,)=>e | whole_supp: 124524 | whole_vio: 101510 | whole_conf: 0.184816 | Asupp: 10
(e,)=>f | whole_supp: 124524 | whole_vio: 100780 | whole_conf: 0.190678 | Asupp: 10
(e,)=>c | whole_supp: 124524 | whole_vio: 100455 | whole_conf: 0.193288 | Asupp: 10
(d,)=>f | whole_supp: 124524 | whole_vio: 100335 | whole_conf: 0.194252 | Asupp: 10
(d,)=>c | whole_supp: 124524 | whole_vio: 100008 | whole_conf: 0.196878 | Asupp: 10
(e,)=>b | whole_supp: 124524 | whole_vio: 98153 | whole_conf: 0.211774 | Asupp: 10
(d,)=>b | whole_supp: 124524 | whole_vio: 97941 | whole_conf: 0.213477 | Asupp: 10
(a,)=>b | whole_supp: 124524 | whole_vio: 123709 | whole_conf: 0.006545 | Asupp: 10
(a,)=>d | whole_supp: 124524 | whole_vio: 123571 | whole_conf: 0.007653 | Asupp: 10
(a,)=>f | whole_supp: 124524 | whole_vio: 123568 | whole_conf: 0.007677 | Asupp: 10
(a,)=>e | whole_supp: 124524 | whole_vio: 123566 | whole_conf: 0.007693 | Asupp: 10
(a,)=>c | whole_supp: 124524 | whole_vio: 123546 | whole_conf: 0.007854 | Asupp: 10
(f,)=>g | whole_supp: 124524 | whole_vio: 109527 | whole_conf: 0.120435 | Asupp: 10
(c,)=>g | whole_supp: 124524 | whole_vio: 109450 | whole_conf: 0.121053 | Asupp: 10
(f,)=>a | whole_supp: 124524 | whole_vio: 107418 | whole_conf: 0.137371 | Asupp: 10
(c,)=>a | whole_supp: 124524 | whole_vio: 107340 | whole_conf: 0.137998 | Asupp: 10
(d,)=>g | whole_supp: 124524 | whole_vio: 105485 | whole_conf: 0.152894 | Asupp: 10
(e,)=>g | whole_supp: 124524 | whole_vio: 105461 | whole_conf: 0.153087 | Asupp: 10
(d,)=>a | whole_supp: 124524 | whole_vio: 103468 | whole_conf: 0.169092 | Asupp: 10
(e,)=>a | whole_supp: 124524 | whole_vio: 103400 | whole_conf: 0.169638 | Asupp: 10
(g,)=>d | whole_supp: 124524 | whole_vio: 49328 | whole_conf: 0.603868 | Asupp: 10

rule_repository.size(): 90
(g,)=>e | whole_supp: 124524 | whole_vio: 49106 | whole_conf: 0.605650 | Asupp: 10
(g,)=>f | whole_supp: 124524 | whole_vio: 49098 | whole_conf: 0.605715 | Asupp: 10
(g,)=>c | whole_supp: 124524 | whole_vio: 48950 | whole_conf: 0.606903 | Asupp: 10
(g,)=>b | whole_supp: 124524 | whole_vio: 48692 | whole_conf: 0.608975 | Asupp: 10
(b,c,)=>d | whole_supp: 124524 | whole_vio: 18226 | whole_conf: 0.853635 | Asupp: 10
(b,f,)=>d | whole_supp: 124524 | whole_vio: 18142 | whole_conf: 0.854309 | Asupp: 10
(b,c,)=>f | whole_supp: 124524 | whole_vio: 17865 | whole_conf: 0.856534 | Asupp: 10
(b,c,)=>e | whole_supp: 124524 | whole_vio: 17721 | whole_conf: 0.857690 | Asupp: 10
